Symbol,Quantity,Average Cost,Notes,Last Updated
AAPL,50,150.25,Core tech holding,2024-10-13
GOOGL,20,2800.00,Long term growth,2024-10-13
MSFT,30,350.75,Cloud computing play,2024-10-13
TSLA,15,220.50,High growth potential,2024-10-13
AMZN,25,3200.00,E-commerce leader,2024-10-13
NVDA,10,450.00,AI chip leader,2024-10-13
META,40,325.80,Social media recovery,2024-10-13
JPM,60,145.30,Banking sector,2024-10-13
JNJ,35,160.45,Healthcare stable,2024-10-13
V,25,220.15,Payments growth,2024-10-13
WMT,20,155.60,Retail defensive,2024-10-13
DIS,15,95.25,Entertainment recovery,2024-10-13
NFLX,10,400.80,Streaming leader,2024-10-13
BABA,8,85.50,China exposure,2024-10-13
UBER,12,65.30,Gig economy,2024-10-13